Date,Actual,Predicted,pred_diff,actual_diff,signal
2024-12-04,241.91587829589844,241.77493432164192,0.2174392,3.0462189,0
2024-12-05,241.9457244873047,242.13138249516487,0.2155042,0.35838318,0
2024-12-06,241.74664306640625,242.15978376567364,0.21405928,0.029846191,0
2024-12-09,245.63902282714844,241.95277231931686,0.20612925,-0.19908142,0
2024-12-10,246.6544342041016,245.8395350277424,0.2005122,3.8923798,0
2024-12-11,245.38021850585935,246.8518318831921,0.19739768,1.0154114,0
2024-12-12,246.84359741210935,245.5735995173454,0.19338101,-1.2742157,0
2024-12-13,247.0128173828125,247.03386820852754,0.1902708,1.4633789,0
2024-12-16,249.9097137451172,247.19955477118492,0.18673739,0.16921997,0
2024-12-17,252.33872985839844,250.09254053235054,0.18282679,2.8968964,0
2024-12-18,246.9331817626953,252.51881946623325,0.18008961,2.429016,0
2024-12-19,248.6653289794922,247.11234110593796,0.17915934,-5.405548,0
2024-12-20,253.34417724609372,248.8471836000681,0.18185462,1.7321473,0
2024-12-23,254.1206817626953,253.53029227256772,0.18611503,4.6788483,0
2024-12-24,257.0374755859375,254.3148009479046,0.19411919,0.7765045,0
2024-12-26,257.853759765625,257.24110470712185,0.20362912,2.9167938,0
2024-12-27,254.439208984375,258.0552849471569,0.20152518,0.8162842,0
2024-12-30,251.06448364257807,254.64087375998497,0.20166478,-3.4145508,0
2024-12-31,249.29251098632807,251.26599711179728,0.20151347,-3.3747253,0
2025-01-02,242.75210571289065,249.49245789647097,0.19994691,-1.7719727,0
2025-01-03,242.2642974853516,242.94634991884234,0.1942442,-6.540405,0
2025-01-06,243.89691162109372,242.45165093243125,0.18735345,-0.48780823,0
2025-01-07,241.11947631835935,244.08118781447408,0.1842762,1.632614,0
2025-01-08,241.60726928710935,241.3034570366144,0.18398072,-2.7774353,0
2025-01-10,235.7835998535156,241.79110133647916,0.18383205,0.48779297,0
2025-01-13,233.3446350097656,235.96838890016076,0.18478905,-5.823669,0
2025-01-14,232.2296905517578,233.53006418049333,0.18542917,-2.4389648,0
2025-01-15,236.79901123046875,232.41772992908955,0.18803938,-1.1149445,0
2025-01-16,227.23228454589844,236.9923714697361,0.19336024,4.5693207,0
2025-01-17,228.9445343017578,227.4334296286106,0.20114508,-9.566727,0
2025-01-21,221.6375732421875,229.14337474107742,0.19884044,1.7122498,0
2025-01-22,222.8222198486328,221.8398651778698,0.20229194,-7.306961,0
2025-01-23,222.65301513671875,223.02326527237892,0.20104542,1.1846466,0
2025-01-24,221.7769470214844,222.86308316886425,0.21006803,-0.16920471,0
2025-01-27,228.82508850097656,221.99691712856296,0.2199701,-0.8760681,0
2025-01-28,237.187255859375,229.06000772118568,0.23491922,7.0481415,0
2025-01-29,238.28228759765625,237.43986657261848,0.2526107,8.362167,0
2025-01-30,236.5202789306641,238.5440143942833,0.2617268,1.0950317,0
2025-01-31,234.9374237060547,236.77651298046115,0.25623405,-1.7620087,0
